2MASS J08294949+2646348|All|PM I08298+2646  |      |    |    | |08 29 49.4|+26 46 33| 0.2753|Di14|-1.110|-0.607|14.16|USNOB|     |     |     |     |     | 8.235| 7.617| 7.260|A|M1|S| 0.227| 0.256| 0.560|-29.77| 2.972| 6.535|  2.32|-0.36|2809|PHX|-| 0.19|-| 0.003|-| 0.14|08294949+2646348|0
2MASS J08313744+1923494|All|PM I08316+1923N |      |    |    | |08 31 37.4|+19 23 49| 0.0904|VL07|-0.221|-0.114|13.88|USNOB|     |     |     |     |     | 8.625| 8.049| 7.720|A|M4|S| 0.434| 0.435| 0.703|-12.10| 2.164| 2.407|  5.39| 0.27|3360|PHX| | 0.29| | 0.010| | 0.27|08313744+1923494|0
2MASS J08313759+1923395|All|PM I08316+1923S | 41824|    |    | |08 31 37.6|+19 23 39| 0.0904|VL07|-0.255|-0.095|11.59|HIPPA|13.38|11.88|12.57|11.21| 9.60| 7.509| 6.894| 6.603|A|M4|S| 0.433| 0.436| 0.706|-12.51| 2.015| 2.366|  6.16| 0.31|3374|PHX| | 0.30| | 0.011| | 0.28|08313759+1923395|0
2MASS J08405923-2327232|All|PM I08409-2327  |      |    |    | |08 40 59.2|-23 27 23|       |    |-0.457| 0.799|12.04|APASS|13.54|12.04|12.70|11.39|10.02| 7.934| 7.321| 7.028|B|M4| | 0.481| 0.476| 0.763| -9.88| 1.330| 1.526| -0.27| 0.27|3400|PHX| | 0.32| | 0.013| | 0.31|08405923-2327232|0
2MASS J08550761+0132472|All|PM I08551+0132  | 43790|    |    | |08 55 07.6|+01 32 47| 0.0505|VL07| 0.045|-1.045|10.05|HIPPA|11.30|10.14|10.67| 9.37| 8.69| 7.191| 6.523| 6.352|A|M0| | 0.790| 0.768| 0.903| -3.39| 0.744| 0.679| -0.62|     |4003|PHX| | 0.59| | 0.080| | 0.63|08550761+0132472|0
2MASS J08581519+1945470|All|PM I08582+1945N |      |    |    | |08 58 15.1|+19 45 47| 0.1912|VA95|-0.858|-0.046|13.41|USNOB|     |     |     |     |     | 7.791| 7.244| 6.889|A|M7| | 0.238| 0.273| 0.531|-22.83| 3.553| 6.168|  5.30|     |2979|PHX|-| 0.19|-| 0.003|-| 0.14|08581519+1945470|0
2MASS J08585633+0828259|All|PM I08589+0828  |      |    |    | |08 58 56.3|+08 28 25| 0.1477|He06| 0.379|-0.338|11.08|APASS|12.62|11.08|11.74|10.34| 8.82| 6.507| 5.966| 5.688|A|M4| | 0.400| 0.408| 0.644|-14.72| 1.730| 3.204|  3.47|     |3170|PHX|-| 0.19|-| 0.003|-| 0.14|08585633+0828259|0
2MASS J09142298+5241125|All|PM I09143+5241  | 45343|3806|1814|1|09 14 22.8|+52 41 11| 0.1721|VL07|-1.536|-0.577| 7.78|HIPPA|     |     |     |     |     | 4.889| 3.987| 3.988|A|M0|S| 0.838| 0.778| 0.899| -4.13| 0.808| 0.672| -0.54|-0.26|3991|PHX| | 0.59| | 0.078| | 0.63|09142298+5241125|0
2MASS J09142485+5241118|All|PM I09144+5241  |120005|3806|1819|1|09 14 24.7|+52 41 10| 0.1565|VL07|-1.552|-0.641| 7.97|HIPPA|     |     |     |     |     | 4.779| 4.043| 4.136|A|  | |      |      |      |      |      |      |      |     |3770|V-J| | 0.52| | 0.047| | 0.55|09142485+5241118|0
2MASS J09173071+7714405|All|PM I09175+7714  | 45593|4541| 108|1|09 17 30.5|+77 14 40| 0.0389|VL07|-1.067| 0.002|10.16|HIPPA|11.38|10.14|10.88| 9.52| 8.84| 7.398| 6.755| 6.602|A|M1| | 0.891| 0.788| 0.901| -2.85| 0.284| 0.564| -0.52|     |4113|PHX| | 0.62| | 0.099| | 0.66|09173071+7714405|0
2MASS J09311936-1329192|All|PM I09313-1329  | 46706|5472| 348|1|09 31 19.4|-13 29 19| 0.0999|VL07| 0.693| 0.105|10.08|HIPPA|11.61|10.21|10.82| 9.73| 8.40| 6.361| 5.755| 5.511|A|M3|S| 0.551| 0.519| 0.776| -9.17| 1.208| 1.334| -0.40|-0.01|3479|PHX| | 0.37| | 0.019| | 0.38|09311936-1329192|0
